,person_id,name,field_goals_made,field_goals_ast,field_goals_missed,times_ball_lost,times_ball_stolen,fouls,games_played,field_goals_blocked,free_throws_made,free_throws_missed,rebounds,points,three-pointers
0,722.0,Corliss Williamson,3354.0,917.0,3479.0,1200.0,430.0,2110.0,745.0,242.0,1813.0,713.0,2970.0,6505.0,101.0
1,165.0,Hakeem Olajuwon,2008.0,649.0,2046.0,769.0,454.0,933.0,361.0,629.0,922.0,373.0,2665.0,5170.0,59.0
2,17.0,Clyde Drexler,837.0,719.0,1078.0,340.0,242.0,350.0,141.0,77.0,472.0,133.0,703.0,5368.0,76.0
3,53.0,Mario Elie,923.0,917.0,1103.0,476.0,343.0,687.0,347.0,50.0,619.0,104.0,909.0,25307.0,271.0
4,51.0,Mahmoud Abdul-Rauf,616.0,311.0,784.0,154.0,79.0,249.0,155.0,8.0,149.0,27.0,178.0,14071.0,196.0
5,1074.0,Matt Maloney,753.0,818.0,1099.0,370.0,228.0,370.0,284.0,14.0,199.0,51.0,478.0,6141.0,78.0
6,178.0,Olden Polynice,1205.0,381.0,1351.0,444.0,154.0,1080.0,373.0,301.0,250.0,329.0,2339.0,15630.0,206.0
7,782.0,Mitch Richmond,2286.0,1074.0,2970.0,815.0,431.0,817.0,365.0,73.0,1552.0,235.0,1107.0,13162.0,184.0
8,788.0,Kevin Willis,1897.0,365.0,2209.0,688.0,278.0,1415.0,529.0,249.0,888.0,281.0,3177.0,15332.0,189.0
9,258.0,Brian Grant,2204.0,686.0,2353.0,851.0,357.0,1875.0,609.0,329.0,1188.0,342.0,4348.0,382.0,1.0
10,63.0,Michael Smith,566.0,468.0,520.0,336.0,248.0,731.0,306.0,146.0,406.0,299.0,2240.0,14806.0,153.0
11,970.0,Othella Harrington,1958.0,430.0,1921.0,918.0,177.0,1876.0,679.0,277.0,1144.0,399.0,3031.0,1831.0,5.0
12,1489.0,Lionel Simmons,44.0,51.0,88.0,32.0,8.0,57.0,39.0,12.0,39.0,5.0,98.0,3271.0,17.0
13,672.0,Matt Bullard,620.0,260.0,888.0,146.0,92.0,383.0,323.0,66.0,91.0,28.0,602.0,5554.0,57.0
14,190.0,Duane Causwell,153.0,33.0,178.0,99.0,30.0,338.0,157.0,106.0,77.0,61.0,382.0,3858.0,60.0
15,988.0,Randy Livingston,293.0,397.0,424.0,210.0,119.0,279.0,190.0,29.0,127.0,37.0,267.0,2701.0,18.0
16,721.0,Tyus Edney,273.0,414.0,409.0,199.0,125.0,177.0,150.0,3.0,280.0,64.0,188.0,6100.0,68.0
17,694.0,Sam Mack,528.0,229.0,803.0,164.0,123.0,334.0,187.0,22.0,167.0,31.0,374.0,19255.0,209.0
18,929.0,Tracy Moore,33.0,20.0,52.0,14.0,5.0,19.0,26.0,0.0,22.0,9.0,26.0,25379.0,249.0
19,1023.0,Emanual Davis,390.0,388.0,604.0,263.0,165.0,339.0,217.0,28.0,134.0,38.0,426.0,18803.0,225.0
20,895.0,Tyrone Corbin,778.0,395.0,1110.0,237.0,250.0,544.0,253.0,23.0,265.0,82.0,950.0,15328.0,174.0
21,703.0,Kurt Thomas,3429.0,1106.0,3660.0,1103.0,650.0,3251.0,1000.0,774.0,1132.0,336.0,6622.0,16127.0,192.0
22,390.0,Sasha Danilovic,244.0,100.0,319.0,114.0,53.0,160.0,82.0,9.0,117.0,30.0,136.0,15120.0,200.0
23,105.0,Dan Majerle,748.0,763.0,1195.0,285.0,331.0,630.0,355.0,78.0,219.0,75.0,1242.0,1647.0,12.0
24,120.0,Steven Smith,2535.0,1438.0,3256.0,894.0,387.0,1289.0,618.0,149.0,1859.0,292.0,1657.0,8462.0,80.0
25,87.0,Dikembe Mutombo,2246.0,568.0,2124.0,1119.0,263.0,2165.0,781.0,1724.0,1898.0,771.0,7243.0,924.0,12.0
26,896.0,Tim Hardaway,2271.0,2795.0,3344.0,978.0,532.0,853.0,405.0,50.0,970.0,245.0,1179.0,1862.0,20.0
27,297.0,Alonzo Mourning,2852.0,494.0,2446.0,1217.0,225.0,1841.0,559.0,1419.0,2059.0,1107.0,4059.0,12366.0,161.0
28,302.0,Mookie Blaylock,1757.0,2198.0,2633.0,758.0,787.0,585.0,398.0,95.0,406.0,151.0,1521.0,5810.0,72.0
29,363.0,Christian Laettner,2146.0,1218.0,2302.0,945.0,528.0,1608.0,586.0,339.0,1323.0,270.0,3202.0,11054.0,86.0
30,80.0,Ken Norman,27.0,12.0,67.0,18.0,7.0,17.0,30.0,3.0,4.0,8.0,39.0,19263.0,252.0
31,468.0,Jon Barry,1171.0,1323.0,1497.0,580.0,507.0,746.0,596.0,72.0,633.0,88.0,1161.0,407.0,1.0
32,136.0,P.J. Brown,2966.0,1221.0,3408.0,1021.0,661.0,2506.0,849.0,761.0,1637.0,382.0,6637.0,35823.0,428.0
33,173.0,Keith Askins,190.0,112.0,298.0,95.0,93.0,350.0,174.0,33.0,56.0,29.0,407.0,8293.0,107.0
34,1134.0,Ike Austin,1155.0,494.0,1430.0,627.0,192.0,847.0,326.0,189.0,607.0,284.0,1785.0,903.0,7.0
35,202.0,Gary Grant,88.0,129.0,123.0,50.0,34.0,68.0,77.0,1.0,30.0,6.0,79.0,14966.0,215.0
36,1096.0,Ivano Newbill,60.0,32.0,84.0,59.0,38.0,151.0,94.0,17.0,36.0,44.0,269.0,15034.0,189.0
37,695.0,Eldridge Recasner,462.0,328.0,610.0,233.0,101.0,281.0,223.0,7.0,167.0,19.0,369.0,41176.0,485.0
38,185.0,Chris Webber,5797.0,2826.0,6573.0,1838.0,973.0,2257.0,689.0,900.0,2112.0,1021.0,6566.0,11737.0,135.0
39,358.0,Anfernee Hardaway,2197.0,1753.0,2871.0,970.0,611.0,1007.0,474.0,188.0,1075.0,297.0,1928.0,2010.0,19.0
40,140.0,Donald Royal,82.0,38.0,120.0,52.0,25.0,126.0,124.0,12.0,115.0,24.0,186.0,6603.0,45.0
