,season,team_id,team_city,team_nickname,field_goals_made,field_goals_ast,field_goals_missed,times_ball_lost,times_ball_stolen,fouls,game_id,games_played,field_goals_blocked,free_throws_made,free_throws_missed,points,three_pointers,rebounds,ORB,DRB,MP,start_time
0,1996.0,1610612758.0,Sacramento,Kings,2865.0,1715.0,3441.0,1224.0,561.0,1859.0,0.0,0.0,349.0,1402.0,538.0,6231.0,402.0,Smith REBOUND (Off:2 Def:4),2796.0,6289.0,0.0,0.0
1,1996.0,1610612745.0,Houston,Rockets,2920.0,1927.0,3317.0,1268.0,658.0,1610.0,0.0,0.0,339.0,1453.0,470.0,6500.0,624.0,Barkley REBOUND (Off:3 Def:11),2603.0,6573.0,0.0,0.0
2,1996.0,1610612737.0,Atlanta,Hawks,2657.0,1464.0,3306.0,1105.0,651.0,1515.0,0.0,0.0,399.0,1414.0,429.0,6195.0,583.0,Barry REBOUND (Off:1 Def:1),2200.0,5121.0,0.0,0.0
3,1996.0,1610612748.0,Miami,Heat,2654.0,1637.0,3180.0,1182.0,610.0,1802.0,0.0,0.0,414.0,1385.0,535.0,6260.0,567.0,Anderson REBOUND (Off:3 Def:3),2038.0,4812.0,0.0,0.0
4,1996.0,1610612764.0,Washington,Bullets,2967.0,1775.0,3206.0,1169.0,665.0,1704.0,0.0,0.0,372.0,1297.0,546.0,6285.0,331.0,Webber REBOUND (Off:5 Def:12),1961.0,4595.0,0.0,0.0
5,1996.0,1610612753.0,0,Magic,2563.0,1507.0,3321.0,1074.0,631.0,1481.0,0.0,0.0,328.0,1308.0,463.0,5814.0,470.0,Schayes REBOUND (Off:6 Def:7),2653.0,5741.0,0.0,0.0
6,1996.0,1610612752.0,New York,Knicks,2626.0,1645.0,3102.0,1290.0,584.0,1890.0,0.0,0.0,348.0,1453.0,484.0,5762.0,414.0,Starks REBOUND (Off:0 Def:3),2005.0,6240.0,0.0,0.0
7,1996.0,1610612761.0,Toronto,Raptors,2657.0,1567.0,3418.0,1166.0,654.0,1750.0,0.0,0.0,480.0,1326.0,510.0,5735.0,480.0,Jones REBOUND (Off:5 Def:7),2550.0,5085.0,0.0,0.0
8,1996.0,1610612750.0,Minnesota,Timberwolves,2737.0,1756.0,3245.0,1113.0,572.0,1688.0,0.0,0.0,512.0,1497.0,500.0,5948.0,383.0,Parks REBOUND (Off:0 Def:4),1809.0,4785.0,0.0,0.0
9,1996.0,1610612759.0,San Antonio,Spurs,2695.0,1577.0,3395.0,1132.0,621.0,1684.0,0.0,0.0,407.0,1324.0,516.0,5672.0,363.0,Wilkins REBOUND (Off:2 Def:2),2716.0,4971.0,0.0,0.0
10,1996.0,1610612742.0,Dallas,Mavericks,2714.0,1608.0,3521.0,1211.0,634.0,1758.0,0.0,0.0,340.0,1311.0,525.0,5949.0,428.0,Danilovic REBOUND (Off:0 Def:3),2311.0,5349.0,0.0,0.0
11,1996.0,1610612743.0,0,Nuggets,2589.0,1645.0,3368.0,1157.0,448.0,1611.0,0.0,0.0,433.0,1360.0,428.0,5868.0,526.0,Hammonds REBOUND (Off:2 Def:6),1947.0,5607.0,0.0,0.0
12,1996.0,1610612757.0,Portland,Trail Blazers,2817.0,1605.0,3255.0,1224.0,604.0,1830.0,0.0,0.0,411.0,1508.0,601.0,6239.0,482.0,Dudley REBOUND (Off:2 Def:2),1950.0,5216.0,0.0,0.0
13,1996.0,1610612763.0,0,Grizzlies,2664.0,1765.0,3462.0,1177.0,626.0,1689.0,0.0,0.0,432.0,1184.0,482.0,5760.0,398.0,Abdur-Rahim REBOUND (Off:3 Def:7),2151.0,4588.0,0.0,0.0
14,1996.0,1610612756.0,Phoenix,Suns,3023.0,1989.0,3421.0,1118.0,649.0,1678.0,0.0,0.0,304.0,1574.0,485.0,6739.0,486.0,Ceballos REBOUND (Off:3 Def:2),1720.0,5017.0,0.0,0.0
15,1996.0,1610612747.0,0,Lakers,2830.0,1734.0,3409.0,1111.0,707.0,1710.0,0.0,0.0,544.0,1511.0,665.0,6382.0,499.0,O'Neal REBOUND (Off:3 Def:4),2474.0,5017.0,0.0,0.0
16,1996.0,1610612755.0,Philadelphia,76ers,2704.0,1532.0,3458.0,1233.0,623.0,1592.0,0.0,0.0,363.0,1582.0,601.0,6007.0,400.0,Davis REBOUND (Off:5 Def:4),2851.0,4457.0,0.0,0.0
17,1996.0,1610612749.0,Milwaukee,Bucks,2737.0,1491.0,3094.0,1157.0,593.0,1766.0,0.0,0.0,329.0,1459.0,510.0,5871.0,326.0,Wood REBOUND (Off:0 Def:3),2236.0,5627.0,0.0,0.0
18,1996.0,1610612741.0,Chicago,Bulls,3129.0,2053.0,3487.0,1021.0,688.0,1552.0,0.0,0.0,325.0,1290.0,439.0,7007.0,521.0,Longley REBOUND (Off:1 Def:4),2591.0,4701.0,0.0,0.0
19,1996.0,1610612738.0,Boston,Celtics,2801.0,1635.0,3535.0,1182.0,737.0,1787.0,0.0,0.0,288.0,1524.0,505.0,6165.0,437.0,Walker REBOUND (Off:1 Def:6),2358.0,4263.0,0.0,0.0
20,1996.0,1610612754.0,Indiana,Pacers,2718.0,1670.0,3227.0,1209.0,550.0,1902.0,0.0,0.0,374.0,1605.0,624.0,6031.0,441.0,Smits REBOUND (Off:4 Def:6),2157.0,5111.0,0.0,0.0
21,1996.0,1610612765.0,Detroit,Pistons,2615.0,1434.0,3026.0,913.0,581.0,1539.0,0.0,0.0,260.0,1376.0,471.0,6122.0,519.0,Hill REBOUND (Off:0 Def:7),2005.0,4526.0,0.0,0.0
22,1996.0,1610612760.0,Seattle,SuperSonics,2837.0,1808.0,3257.0,1149.0,856.0,1742.0,0.0,0.0,376.0,1647.0,540.0,6286.0,502.0,Stewart REBOUND (Off:4 Def:2),2140.0,4785.0,0.0,0.0
23,1996.0,1610612762.0,0,Jazz,2938.0,2048.0,2917.0,1136.0,707.0,1899.0,0.0,0.0,392.0,1723.0,521.0,6251.0,376.0,Anderson REBOUND (Off:2 Def:2),1714.0,5039.0,0.0,0.0
24,1996.0,1610612739.0,Cleveland,Cavaliers,2456.0,1537.0,3006.0,1017.0,584.0,1728.0,0.0,0.0,290.0,1143.0,435.0,5365.0,389.0,Mills REBOUND (Off:2 Def:5),1888.0,4544.0,0.0,0.0
25,1996.0,1610612751.0,New Jersey,Nets,2833.0,1628.0,3909.0,1180.0,652.0,1805.0,0.0,0.0,456.0,1421.0,507.0,6178.0,434.0,Haley REBOUND (Off:1 Def:0),3318.0,5351.0,0.0,0.0
26,1996.0,1610612766.0,Charlotte,Hornets,2888.0,1949.0,3231.0,1103.0,576.0,1670.0,0.0,0.0,338.0,1485.0,429.0,6438.0,543.0,Delk REBOUND (Off:1 Def:1),2208.0,5379.0,0.0,0.0
27,1996.0,1610612746.0,Los Angeles,Clippers,2916.0,1618.0,3617.0,1218.0,720.0,1924.0,0.0,0.0,438.0,1491.0,551.0,6279.0,458.0,Martin REBOUND (Off:1 Def:1),2269.0,4243.0,0.0,0.0
28,1996.0,1610612744.0,0,Warriors,2762.0,1676.0,3287.0,1221.0,561.0,1658.0,0.0,0.0,335.0,1539.0,437.0,6115.0,423.0,Marshall REBOUND (Off:5 Def:4),1990.0,3952.0,0.0,0.0
29,1997.0,1610612764.0,Washington,Wizards,2997.0,1838.0,3672.0,1070.0,672.0,1822.0,0.0,0.0,367.0,1437.0,643.0,6305.0,350.0,Whitney REBOUND (Off:0 Def:2),7880.0,18486.0,0.0,0.0
30,1997.0,1610612765.0,0,Pistons,2693.0,1500.0,3291.0,1073.0,637.0,1714.0,0.0,0.0,312.0,1617.0,546.0,5792.0,336.0,Reid REBOUND (Off:2 Def:1),2141.0,12883.0,0.0,0.0
31,1997.0,1610612761.0,Toronto,Raptors,2864.0,1690.0,3707.0,1280.0,746.0,1802.0,0.0,0.0,642.0,1443.0,566.0,6070.0,396.0,Garner REBOUND (Off:1 Def:1),8550.0,12583.0,0.0,0.0
32,1997.0,1610612748.0,Miami,Heat,2716.0,1667.0,3315.0,1112.0,638.0,1894.0,0.0,0.0,405.0,1476.0,515.0,6071.0,519.0,Mills REBOUND (Off:0 Def:9),5336.0,8299.0,0.0,0.0
33,1997.0,1610612743.0,Denver,Nuggets,2547.0,1471.0,3554.0,1156.0,642.0,1872.0,0.0,0.0,373.0,1584.0,473.0,5462.0,308.0,Battie REBOUND (Off:1 Def:5),5221.0,11712.0,0.0,0.0
34,1997.0,1610612759.0,San Antonio,Spurs,2858.0,1812.0,3253.0,1255.0,515.0,1718.0,0.0,0.0,552.0,1469.0,666.0,6187.0,365.0,Geary REBOUND (Off:1 Def:3),4623.0,7822.0,0.0,0.0
35,1997.0,1610612762.0,Utah,Jazz,2827.0,1945.0,2978.0,1164.0,621.0,1916.0,0.0,0.0,381.0,1958.0,574.0,6192.0,331.0,Malone REBOUND (Off:3 Def:6),4155.0,7403.0,0.0,0.0
36,1997.0,1610612747.0,Los Angeles,Lakers,3028.0,1930.0,3254.0,1186.0,705.0,1798.0,0.0,0.0,541.0,1774.0,836.0,6684.0,489.0,O'Neal REBOUND (Off:3 Def:12),5685.0,9007.0,0.0,0.0
37,1997.0,1610612763.0,Vancouver,Grizzlies,2941.0,1921.0,3476.0,1316.0,600.0,1799.0,0.0,0.0,343.0,1544.0,544.0,6250.0,363.0,Lynch REBOUND (Off:4 Def:4),5998.0,13392.0,0.0,0.0
38,1997.0,1610612742.0,0,Mavericks,2768.0,1482.0,3728.0,1068.0,620.0,1599.0,0.0,0.0,452.0,1256.0,411.0,6282.0,403.0,Wells REBOUND (Off:1 Def:1),2569.0,9354.0,0.0,0.0
39,1997.0,1610612751.0,New Jersey,Nets,3014.0,1664.0,3819.0,1107.0,768.0,1919.0,0.0,0.0,314.0,1741.0,594.0,6354.0,339.0,Kittles REBOUND (Off:4 Def:7),4219.0,4846.0,0.0,0.0
40,1997.0,1610612754.0,Indiana,Pacers,2632.0,1683.0,2966.0,1009.0,588.0,1706.0,0.0,0.0,336.0,1477.0,450.0,5701.0,380.0,West REBOUND (Off:1 Def:3),6566.0,12436.0,0.0,0.0
41,1997.0,1610612745.0,Houston,Rockets,2864.0,1752.0,3469.0,1232.0,669.0,1669.0,0.0,0.0,288.0,1607.0,476.0,6283.0,528.0,Jones REBOUND (Off:4 Def:2),6082.0,19435.0,0.0,0.0
42,1997.0,1610612739.0,Cleveland,Cavaliers,2750.0,1847.0,3298.0,1329.0,792.0,1912.0,0.0,0.0,413.0,1603.0,516.0,5966.0,338.0,Henderson REBOUND (Off:2 Def:4),4253.0,10894.0,0.0,0.0
43,1997.0,1610612746.0,Los Angeles,Clippers,2793.0,1469.0,3568.0,1180.0,596.0,1783.0,0.0,0.0,429.0,1403.0,529.0,6125.0,479.0,Austin REBOUND (Off:5 Def:10),3657.0,5388.0,0.0,0.0
44,1997.0,1610612756.0,Phoenix,Suns,2940.0,2005.0,3344.0,1135.0,722.0,1663.0,0.0,0.0,401.0,1362.0,454.0,6408.0,432.0,Llamas REBOUND (Off:1 Def:1),5200.0,7674.0,0.0,0.0
45,1997.0,1610612744.0,Golden State,Warriors,2723.0,1632.0,3845.0,1249.0,597.0,1781.0,0.0,0.0,432.0,1278.0,521.0,5650.0,242.0,Fuller REBOUND (Off:0 Def:1),8589.0,10028.0,0.0,0.0
46,1997.0,1610612750.0,Minnesota,Timberwolves,2934.0,1936.0,3422.0,1031.0,606.0,1787.0,0.0,0.0,401.0,1527.0,530.0,6289.0,337.0,Hammonds REBOUND (Off:3 Def:4),2349.0,10446.0,0.0,0.0
47,1997.0,1610612766.0,Charlotte,Hornets,2850.0,1864.0,3257.0,1162.0,673.0,1729.0,0.0,0.0,300.0,1584.0,529.0,6244.0,383.0,Divac REBOUND (Off:5 Def:6),4147.0,6945.0,0.0,0.0
48,1997.0,1610612752.0,New York,Knicks,2657.0,1660.0,3299.0,1120.0,589.0,1843.0,0.0,0.0,257.0,1329.0,382.0,5755.0,363.0,Cummings REBOUND (Off:3 Def:6),2139.0,9120.0,0.0,0.0
49,1997.0,1610612741.0,Chicago,Bulls,2803.0,1783.0,3420.0,1008.0,629.0,1592.0,0.0,0.0,319.0,1362.0,469.0,6011.0,342.0,Rodman REBOUND (Off:2 Def:6),3952.0,10017.0,0.0,0.0
50,1997.0,1610612738.0,0,Celtics,2940.0,1775.0,3817.0,1242.0,960.0,2169.0,0.0,0.0,359.0,1375.0,530.0,6129.0,405.0,McCarty REBOUND (Off:3 Def:5),3499.0,12139.0,0.0,0.0
51,1997.0,1610612757.0,Portland,Trail Blazers,2571.0,1565.0,3178.0,1219.0,524.0,1729.0,0.0,0.0,423.0,1457.0,519.0,5633.0,325.0,B. Grant REBOUND (Off:8 Def:9),4793.0,7239.0,0.0,0.0
52,1997.0,1610612760.0,Seattle,SuperSonics,2986.0,1942.0,3320.0,1090.0,791.0,1809.0,0.0,0.0,370.0,1479.0,573.0,6783.0,562.0,Perkins REBOUND (Off:1 Def:3),6486.0,6561.0,0.0,0.0
